step,accuracy
250,0.4908256880733945
500,0.6490825688073395
750,0.783256880733945
1000,0.7935779816513762
1250,0.7798165137614679
1500,0.7889908256880734
1750,0.8096330275229358
2000,0.8061926605504587
2250,0.8302752293577982
2500,0.7958715596330275
2750,0.8176605504587156
3000,0.8153669724770642
3250,0.8222477064220184
3500,0.819954128440367
3750,0.8027522935779816
4000,0.8176605504587156
4250,0.8222477064220184
4500,0.7958715596330275
4750,0.8188073394495413
5000,0.8130733944954128
5250,0.8165137614678899
5500,0.8188073394495413
5750,0.8004587155963303
6000,0.8188073394495413
6250,0.8073394495412844
