step,accuracy
250,0.4896788990825688
500,0.5091743119266054
750,0.5091743119266054
1000,0.5091743119266054
1250,0.5447247706422018
1500,0.6926605504587156
1750,0.7488532110091743
2000,0.7545871559633027
2250,0.7763761467889908
2500,0.7821100917431193
2750,0.7821100917431193
3000,0.7809633027522935
3250,0.7901376146788991
3500,0.7924311926605505
3750,0.7947247706422018
4000,0.8142201834862385
4250,0.8142201834862385
4500,0.7809633027522935
4750,0.7958715596330275
5000,0.805045871559633
5250,0.7981651376146789
5500,0.8073394495412844
5750,0.8004587155963303
6000,0.8107798165137615
6250,0.8107798165137615
